Latitude,Longitude,Elevation,Distance,Direction,Koppen
70.56,-8.4,9,37.3936888259352,333.353075610893,ET
59.48,5.21,49,2.29443067764078,14.2390568982541,Cfb
61.27,5.52,150,12.2779031887279,355.022697933539,Cfc
77,15.3,12,2.43829542483365,335.812615624337,ET
78.55,11.56,8,1.72974601642398,230.025518982728,ET
78.15,15.28,29,4.61752730205197,316.3240753023,ET
69.18,16.09,14,0.395223748382648,89.9953264917015,Dfc
69.36,17.5,14,6.65120526710886,289.608489684008,ET
69.17,17.46,50,1.93308228885591,54.8662079602528,ET
69.03,18.33,79,13.6036901914102,334.113482326629,Dfc
69.41,18.55,10,1.17867678872061,340.633181001387,Dfc
74.31,19.01,14,3.65845402540201,24.2179983556128,ET
69.01,19.17,78,26.7653063380014,29.1036424093375,ET
70.15,19.3,24,1.87576822929734,126.336911036278,Dfc
70.19,20.09,37,4.29277842769582,255.039362964687,Dfc
69.15,19.59,37,8.03046510118075,345.781172069324,Dfc
69.45,21.02,4,9.57649362387929,305.583658319484,ET
70.2,21.28,11,2.34814054851819,198.73103764786,Dfc
70.29,22.09,10,1.17345613600132,18.6282372995432,Dfc
69.5,21.53,6,27.6481564849244,270.332519149044,Dfc
69.47,20.58,6,8.47760053378863,66.7345690850627,ET
69.01,23.04,330,89.1296615515234,336.041055958901,Dfc
69.59,23.22,3,39.0396437326516,355.517331162615,Dfc
69.35,23.32,374,64.2488321714997,313.020499145943,Dfc
70.4,23.4,81,3.15585421502168,134.776228017123,ET
71.06,24,14,4.50610636384201,170.763224436744,ET
69.22,24.26,286,90.0153391563535,340.225491588988,Dfc
70.04,24.59,8,13.5119715043722,60.2662611247462,Dfc
76.3,25.04,10,17.8604178497427,354.982710899655,ET
69.28,25.3,133,87.4037349086948,353.022147941893,Dfc
71.04,26.14,33,3.64565187790215,52.3716660238642,ET
71.01,25.59,14,2.1231643001996,301.605930317995,ET
71.02,27.5,13,1.44659298002725,89.9810873566668,ET
70.24,28.12,11,20.3620311633678,349.455028201725,Dfc
71.05,28.14,10,1.82253523376824,307.616462185337,ET
70.52,29.02,13,17.9162872972721,29.5570828288865,Dfc
69.1,29.15,54,63.7594112979252,12.2494638220994,Dfc
70.04,29.51,39,6.82825057936607,251.072476589214,ET
70.38,29.44,10,28.9166775438531,22.5074206716978,ET
69.44,29.54,91,24.512192533823,356.383882572992,Dfc
70.42,30.05,9,13.4720876742903,7.9023975011807,ET
70.21,31.03,12,8.47187982681085,311.095113363595,ET
70.22,31.06,15,8.73566290378003,300.701551675211,ET
65.12,11,16,11.4695904317945,165.779926924584,Cfb
65.06,11.42,47,9.09173504984887,168.058946435223,Cfb
67.3,12.05,11,18.4026560002052,345.239343798237,Cfc
67.31,12.06,4,17.450621062996,342.955929155202,Cfc
65.42,11.51,2,23.5191884722431,112.010085371116,Cfc
65.28,12.13,9,2.27195628178341,11.8010538199021,Dfc
60.25,8.31,798,70.0599701980197,293.884682532561,ET
66.46,12.29,21,8.99449454951668,351.509277196953,Cfc
65.58,12.28,17,0.91940922747951,89.9908946059277,Dfc
66.24,12.37,10,6.80604492218368,191.416888145347,Cfc
65.48,13.08,70,14.0268303225046,261.013977574254,Dfc
65.11,13.25,339,25.1279900380359,299.341231663493,Dfc
66.56,13.27,12,3.13575748678274,315.19329662726,Dfc
67.18,13.3,14,18.9752006723064,89.7972197281664,Cfc
68.09,13.37,26,1.66889566194682,311.7943972474,Cfc
65.31,14.01,265,49.7196328178192,269.204634465612,ET
66.16,13.59,39,2.26882222545434,348.583830287201,Dfc
66.22,14.18,70,9.58941656164601,338.107538953304,Dfc
67.16,14.22,13,2.22389853289245,0,Dfc
68.35,14.18,50,1.11194926644552,180,Cfc
68.38,14.28,13,5.08293132411733,151.022482441981,Cfc
68.09,14.39,11,10.2194985430565,348.333612687701,Cfc
68.15,14.4,9,4.15757207872198,323.383396277955,Cfc
68.35,15.01,3,3.36094535084006,7.00172617758608,Cfc
68.42,15.25,3,4.49872346396051,270.051144773219,Cfc
66.51,15.19,81,50.3761917176613,248.442989735413,ET
68,15.37,53,2.26253912253304,10.5996522010915,Cfc
68.31,16.41,26,1.18549265409823,159.707731100154,Dfc
68.29,16.53,19,1.18555518850708,20.291151430209,Dfc
68.17,17.19,6,8.32434610619227,48.025996867874,ET
68.28,17.3,23,2.22389853289104,0,ET
68.54,17.49,20,0.406808399413223,89.9953466339607,Dfc
68.45,23.32,382,151.381366143709,341.921523661765,Dfc
62.02,4.59,40,20.9909096981746,129.333081005453,Cfc
62.2,5.16,41,3.82545737311264,234.481562302422,Cfc
62.11,6.04,74,3.49413844498558,17.3032136331282,Cfc
62.34,6.07,22,4.47769015948937,186.62869839549,Cfc
62.52,6.32,15,5.59060583108577,66.5154251668912,Cfc
62.45,7.16,3,10.0601074832386,354.14923232267,Cfc
62.14,7.25,17,5.74726206117286,219.325683028015,Cfc
63.07,7.5,62,1.1119492664441,180,Cfb
63.28,7.45,13,16.642416920071,82.1733255850034,Cfb
62.51,8.18,69,21.2259250356862,354.484897730769,Dfc
63.51,8.27,28,1.21758332561764,204.047067202794,Cfb
62.14,8.22,621,43.5804948570818,288.182469943095,Dfc
63.12,9,47,18.3325183406082,291.493134871783,Dfc
62.07,9.17,974,82.1042708265485,335.442069815452,ET
64.1,9.25,16,4.6807161635252,198.164540759503,Cfb
63.42,9.36,7,4.55759743255823,347.406713097947,Dfc
62.36,9.41,630,62.7462719269978,324.919127353432,ET
62.49,10.01,475,76.3102171765936,299.321316376652,Dfc
64.24,10.27,21,2.27576184741568,347.74895827927,Cfc
64.48,10.33,33,9.13133591093903,136.881176210922,Cfc
63.28,10.56,17,16.401616231405,294.136066965302,Dfc
63.13,11.07,242,35.3571399691402,335.915575094718,Dfc
63.48,11.34,52,21.9663142551093,264.386219086579,Dfc
64.15,11.12,87,11.1235319231567,154.070120198938,Cfc
64.51,11.14,14,5.88059182822241,160.968105461694,Cfb
64.51,11.14,14,5.88059182822241,160.968105461694,Cfb
62.34,11.23,630,121.604299230349,336.547836194702,ET
62.35,11.21,626,120.174380494752,336.7704753474,ET
64.28,11.35,2,7.95815552362863,327.006499982414,Cfc
63.27,11.42,145,33.4405484633101,309.413456756225,Dfc
64.35,12.32,118,30.427949607094,293.963287408758,Dfc
64.27,13.43,438,83.9982126083103,285.327657674975,Dfc
61.34,4.41,26,12.0568968351186,111.555680196052,Cfb
